Idade,Sexo,Peso,Altura,Tipo sanguineo,Gosto Musical,Pratica Esporte,Jogo preferido,Forca,Velocidade,Inteligencia
60,M,81.5,1.73,O-,Sertanejo,Futebol,World of Warcraft,48.5,46.5,71.5
61,F,68.5,1.82,AB-,Metal,Futebol,World of Warcraft,45.0,45.5,76.0
78,M,73.5,1.7,A-,Eletronica,Nada,FIFA,18.0,16.0,75.5
70,M,83.2,1.71,O+,Funk,Nada,Minecraft,64.5,51.5,79.0
24,F,67.9,1.79,A+,Hip-Hop/Rap,Atletismo,Valorant,96.5,98.5,76.0
72,F,68.9,1.74,O-,Metal,Nada,Dota,52.0,52.0,61.0
32,M,67.9,1.9,AB-,Eletronica,eSports,League of Legends,50.5,36.5,99.0
14,F,40.1,1.5,O-,Rock,eSports,Minecraft,43.5,36.5,78.0
40,F,58.6,1.72,AB+,Hip-Hop/Rap,Atletismo,FIFA,77.5,77.5,71.5
71,M,79.5,1.91,A+,Demais generos estranhos,Nada,Valorant,43.5,34.5,81.0
20,F,60.2,1.76,AB+,Eletronica,Volei,Counter-Strike,73.5,72.0,91.0
41,F,55.8,1.78,AB-,Hip-Hop/Rap,Futebol,FIFA,58.5,68.0,78.0
16,F,59.8,1.61,O+,Eletronica,Futebol,Fortnite,77.5,75.5,71.5
74,M,82.2,1.8,A-,Pagode,Nada,FIFA,53.5,26.0,66.0
53,F,56.7,1.73,O-,Rock,eSports,Fortnite,28.5,26.5,86.0
66,F,64.1,1.82,O-,Eletronica,Nada,Outro - pouco relevante,60.0,51.5,82.5
72,M,83.5,1.74,A+,Eletronica,Nada,League of Legends,37.0,38.5,65.0
59,M,76.0,1.74,AB+,Pop,Luta,Assassin's Creed,69.0,34.5,69.0
70,F,67.3,1.75,AB-,Pop,Nada,Valorant,30.0,27.0,85.5
68,M,68.6,1.75,B-,Demais generos estranhos,Nada,Fortnite,62.5,31.5,71.0
29,F,70.2,1.77,AB+,Demais generos estranhos,eSports,Counter-Strike,58.5,61.0,92.5
69,M,70.5,1.78,B-,Eletronica,Nada,FIFA,53.5,57.0,67.5
38,F,67.8,1.82,B-,Funk,Futebol,Valorant,67.0,75.0,82.5
26,M,81.3,1.76,A+,Metal,Volei,Outro - pouco relevante,86.5,73.5,94.5
36,F,61.6,1.75,O+,Sertanejo,eSports,The Witcher,40.0,43.5,91.0
74,M,72.0,1.78,A-,Sertanejo,Nada,League of Legends,41.0,41.0,69.0
13,F,46.9,1.58,B-,Funk,Basquete,Fortnite,81.0,65.0,64.5
77,F,72.6,1.76,B-,Funk,Nada,Rocket League,41.5,26.5,81.0
40,M,75.8,1.87,AB-,Funk,Futebol,The Witcher,62.0,61.5,81.0
14,F,53.4,1.54,O-,Rock,eSports,Dota,39.0,35.5,76.5
24,M,74.7,1.86,O-,Pop,Luta,World of Warcraft,100,68.5,76.5
74,M,80.0,1.79,AB-,Metal,Nada,The Witcher,53.0,47.0,74.5
14,M,38.3,1.5,AB+,Eletronica,Volei,The Witcher,66.0,59.5,72.5
61,M,68.7,1.83,A+,Funk,Luta,Assassin's Creed,65.5,32.0,73.5
60,F,65.3,1.82,A+,Demais generos estranhos,eSports,Fortnite,27.0,25.5,84.5
19,F,60.9,1.79,A+,Pop,Volei,Minecraft,82.0,77.0,93.5
37,M,73.8,1.95,B-,Hip-Hop/Rap,Nada,Fortnite,38.0,43.5,60.5
65,F,55.3,1.82,AB+,Hip-Hop/Rap,eSports,Counter-Strike,19.0,27.5,89.0
15,F,51.3,1.63,B-,Metal,Basquete,FIFA,83.5,80.0,78.5
13,F,48.9,1.53,AB-,Sertanejo,Volei,Assassin's Creed,66.0,53.5,70.5
23,F,67.5,1.79,A-,Metal,eSports,Dota,51.5,60.0,100.0
54,F,72.4,1.83,B+,Hip-Hop/Rap,Nada,FIFA,23.5,20.5,62.5
80,M,72.3,1.92,A-,Demais generos estranhos,Nada,World of Warcraft,52.0,37.0,80.0
79,M,77.1,1.91,A-,Demais generos estranhos,Nada,Dota,43.5,54.0,60.0
34,M,66.3,1.85,A-,Eletronica,Atletismo,The Witcher,80.5,83.0,73.5
65,M,76.1,1.78,A-,Metal,Atletismo,Fortnite,60.5,65.0,64.0
67,M,67.2,1.76,AB-,Funk,Nada,League of Legends,60.5,53.0,79.5
77,M,80.9,1.93,B+,Pagode,Nada,Assassin's Creed,19.5,21.0,75.0
15,F,66.0,1.71,B+,Sertanejo,Atletismo,Minecraft,85.5,83.5,61.0
13,M,47.7,1.55,A+,Eletronica,eSports,Fortnite,45.5,38.5,69.5
66,F,64.2,1.77,B-,Sertanejo,Nada,Assassin's Creed,52.0,33.5,90.0
63,M,66.6,1.87,O+,Pop,Futebol,Counter-Strike,47.0,55.0,68.0
49,F,55.3,1.79,O-,Pop,eSports,Fortnite,42.0,46.0,98.5
14,M,42.6,1.56,O+,Funk,eSports,Valorant,45.0,37.0,76.5
15,M,56.8,1.71,O-,Sertanejo,Volei,Fortnite,78.0,67.5,79.5
58,M,68.3,1.92,A+,Pagode,eSports,Counter-Strike,25.0,27.5,92.0
50,M,66.6,1.82,O-,Hip-Hop/Rap,Volei,Fortnite,67.0,52.0,91.0
76,F,58.3,1.74,A-,Hip-Hop/Rap,Nada,The Witcher,48.5,42.5,73.5
77,M,65.6,1.71,B-,Eletronica,Nada,Rocket League,46.0,24.5,77.0
28,F,70.4,1.83,O+,Eletronica,Basquete,FIFA,89.5,77.5,89.5
38,M,75.9,1.79,A+,Metal,Basquete,Fortnite,75.5,66.5,86.0
55,F,68.8,1.84,O-,Pagode,Volei,Valorant,51.0,41.5,92.5
80,F,69.8,1.81,O+,Pop,Nada,Valorant,40.0,40.5,65.5
28,F,56.5,1.75,AB+,Sertanejo,Volei,Valorant,74.5,75.5,93.0
76,M,81.4,1.89,A-,Pop,Nada,Dota,47.5,44.5,79.5
21,F,67.7,1.8,A-,Metal,Atletismo,World of Warcraft,73.5,93.5,73.5
50,F,59.2,1.72,O+,Sertanejo,Atletismo,Dota,68.5,76.5,80.0
25,M,71.2,1.92,AB+,Funk,Atletismo,Outro - pouco relevante,86.0,93.5,68.0
38,F,64.6,1.8,A-,Funk,eSports,The Witcher,37.0,48.5,96.0
78,F,72.2,1.79,B+,Rock,Nada,World of Warcraft,55.5,26.5,66.5
16,M,54.8,1.64,O-,Pagode,Luta,Counter-Strike,91.5,62.5,65.0
13,F,45.2,1.55,B-,Funk,Futebol,World of Warcraft,61.0,59.0,60.0
53,F,69.1,1.76,A-,Pop,eSports,Fortnite,18.0,26.5,92.5
63,F,69.9,1.81,O+,Metal,Basquete,Outro - pouco relevante,61.0,48.5,86.5
65,F,71.5,1.71,O+,Funk,eSports,Outro - pouco relevante,26.0,25.0,92.5
56,M,69.6,1.88,AB+,Metal,Futebol,Dota,52.5,44.5,73.5
39,M,66.0,1.73,A+,Pagode,eSports,Fortnite,42.0,39.5,96.0
21,F,63.8,1.72,B-,Funk,eSports,Rocket League,61.0,56.5,89.5
27,M,79.0,1.92,A+,Rock,Atletismo,World of Warcraft,90.0,97.5,70.0
29,M,76.5,1.8,B+,Funk,Basquete,Assassin's Creed,92.0,88.0,85.0
18,M,67.0,1.88,O-,Sertanejo,Atletismo,Counter-Strike,87.0,97.5,66.0
77,F,65.6,1.77,AB-,Pop,Nada,Minecraft,39.0,29.5,84.5
54,M,78.1,1.73,O-,Demais generos estranhos,Futebol,FIFA,51.5,46.5,64.0
67,F,70.0,1.7,AB+,Pop,Nada,Fortnite,47.5,45.0,90.0
58,M,73.4,1.81,O+,Demais generos estranhos,Basquete,Minecraft,58.5,46.0,84.5
70,M,65.2,1.73,B+,Sertanejo,Nada,Counter-Strike,58.0,63.5,64.5
76,F,58.0,1.85,O+,Sertanejo,Nada,League of Legends,56.5,28.0,68.5
21,F,63.0,1.72,O-,Eletronica,Volei,Outro - pouco relevante,87.5,70.0,95.5
38,F,62.9,1.7,A-,Demais generos estranhos,Luta,Valorant,76.5,59.5,80.5
78,F,62.4,1.77,O+,Pop,Nada,Rocket League,53.0,24.0,61.5
58,M,70.4,1.94,A-,Metal,Futebol,Valorant,52.0,53.5,71.5
64,M,81.8,1.85,A+,Metal,Volei,FIFA,53.0,37.5,85.5
74,F,63.6,1.72,A+,Hip-Hop/Rap,Nada,Valorant,12.0,20.5,86.0
49,M,71.7,1.86,O-,Demais generos estranhos,Luta,Outro - pouco relevante,81.5,58.0,76.0
50,M,77.4,1.94,AB-,Rock,Luta,Valorant,85.5,56.0,72.0
13,F,57.5,1.5,B-,Pagode,Futebol,FIFA,63.0,58.5,54.5
70,M,83.8,1.87,AB+,Rock,Nada,World of Warcraft,60.5,51.0,85.5
19,M,73.9,1.75,AB-,Pop,Basquete,Minecraft,92.5,88.5,80.0
51,M,65.2,1.94,O-,Pagode,Basquete,World of Warcraft,60.0,48.0,82.5
79,F,72.3,1.72,A-,Metal,Nada,Dota,36.0,29.5,80.5
52,M,73.9,1.81,B-,Pop,Nada,Counter-Strike,26.5,24.0,56.5
70,M,78.0,1.94,AB+,Hip-Hop/Rap,Nada,Dota,62.0,49.0,87.5
45,M,83.3,1.7,O+,Hip-Hop/Rap,Volei,World of Warcraft,76.5,57.5,97.5
73,F,72.4,1.82,B-,Metal,Nada,Dota,41.0,30.5,85.0
27,F,68.7,1.81,O-,Hip-Hop/Rap,Nada,Fortnite,53.0,58.0,59.5
18,F,66.3,1.77,AB-,Eletronica,Nada,Valorant,60.0,53.5,65.5
36,M,72.4,1.83,A-,Funk,Volei,Minecraft,69.5,60.5,93.5
75,M,76.6,1.77,O+,Rock,Nada,League of Legends,50.0,48.5,79.0
15,F,67.0,1.65,O+,Hip-Hop/Rap,Volei,Valorant,72.0,68.0,82.0
19,M,68.5,1.8,B-,Sertanejo,eSports,Dota,68.0,62.0,90.5
77,F,71.9,1.75,O-,Rock,Nada,Minecraft,50.0,24.5,67.5
21,F,57.1,1.71,AB-,Rock,Volei,Outro - pouco relevante,84.5,67.0,88.0
38,F,58.7,1.74,A+,Hip-Hop/Rap,Luta,Fortnite,78.5,52.0,77.5
70,F,72.0,1.72,B+,Hip-Hop/Rap,Nada,The Witcher,50.0,52.5,71.5
64,F,66.9,1.79,B+,Funk,eSports,World of Warcraft,26.5,19.0,97.0
47,F,55.3,1.74,B+,Demais generos estranhos,Futebol,League of Legends,66.0,68.0,82.5
53,M,67.4,1.89,O+,Demais generos estranhos,Futebol,Assassin's Creed,53.5,47.5,70.5
18,F,65.8,1.78,O+,Sertanejo,Basquete,Rocket League,92.5,79.0,90.0
64,M,65.8,1.95,AB-,Metal,Luta,Valorant,63.5,39.5,67.5
72,F,71.1,1.83,B+,Pop,Nada,Rocket League,16.5,14.5,86.0
38,F,58.6,1.84,AB+,Demais generos estranhos,Volei,Outro - pouco relevante,62.0,59.0,84.0
77,M,80.0,1.85,AB+,Pop,Nada,Assassin's Creed,18.5,12.5,50.5
28,M,75.8,1.88,AB+,Pagode,Luta,Minecraft,96.0,73.0,73.0
20,M,79.8,1.83,A-,Demais generos estranhos,Futebol,Dota,84.5,91.5,71.5
17,F,51.1,1.7,O+,Hip-Hop/Rap,Atletismo,FIFA,70.5,90.5,61.5
71,F,68.7,1.73,A+,Eletronica,Nada,Assassin's Creed,39.5,28.0,80.5
73,M,73.8,1.89,O-,Pagode,Nada,Assassin's Creed,40.0,32.5,76.0
79,F,62.8,1.73,O-,Demais generos estranhos,Nada,Rocket League,44.0,36.0,67.0
51,M,78.1,1.86,O-,Hip-Hop/Rap,Luta,Minecraft,66.0,34.0,64.0
18,M,82.2,1.91,AB+,Funk,Atletismo,Dota,90.5,100,75.5
79,M,66.2,1.92,O+,Eletronica,Nada,Dota,48.5,39.5,77.5
77,F,58.0,1.79,AB+,Funk,Nada,Assassin's Creed,18.0,17.0,81.5
45,F,71.3,1.76,B+,Sertanejo,Basquete,Valorant,81.5,68.0,92.0
77,M,76.4,1.94,O-,Metal,Nada,League of Legends,48.5,45.5,77.5
66,F,54.5,1.7,A-,Metal,Nada,Counter-Strike,60.0,52.0,87.0
18,F,64.2,1.75,B+,Pagode,Nada,Assassin's Creed,56.5,50.0,59.5
44,F,55.4,1.7,O+,Eletronica,eSports,Rocket League,38.5,38.0,86.5
22,F,60.8,1.82,A-,Metal,Nada,World of Warcraft,52.0,56.5,59.0
34,F,57.4,1.73,AB-,Rock,Volei,Dota,65.5,62.5,96.5
16,M,64.8,1.71,O-,Funk,Nada,Outro - pouco relevante,56.0,46.5,52.0
59,F,64.0,1.81,O+,Hip-Hop/Rap,Volei,League of Legends,51.5,41.0,89.0
29,M,70.4,1.84,O-,Metal,Futebol,FIFA,83.5,87.5,71.0
12,M,47.1,1.64,AB-,Eletronica,Atletismo,FIFA,62.0,76.0,51.0
12,F,40.0,1.52,A+,Hip-Hop/Rap,Luta,Valorant,73.5,48.0,60.0
54,F,67.0,1.84,O+,Funk,eSports,Outro - pouco relevante,28.5,19.0,82.0
64,F,65.3,1.78,A-,Pop,eSports,Rocket League,23.5,24.5,86.0
71,M,73.0,1.81,B-,Hip-Hop/Rap,Nada,Outro - pouco relevante,54.0,24.5,64.5
23,F,58.9,1.82,AB+,Demais generos estranhos,Luta,Dota,89.0,65.0,74.0
20,F,69.9,1.74,A-,Eletronica,eSports,FIFA,61.0,57.5,95.0
24,M,67.1,1.9,B-,Pagode,Futebol,Minecraft,81.5,80.5,75.0
40,M,74.9,1.72,A+,Metal,Volei,Minecraft,73.5,61.5,93.0
28,F,69.3,1.72,O+,Hip-Hop/Rap,Atletismo,Valorant,79.5,92.5,79.0
36,M,83.4,1.95,O+,Hip-Hop/Rap,Luta,FIFA,84.5,59.0,75.5
29,M,81.3,1.75,A-,Eletronica,Atletismo,Valorant,87.5,100,75.0
66,F,68.1,1.71,A+,Hip-Hop/Rap,Nada,Assassin's Creed,24.5,23.0,59.0
58,M,67.0,1.85,A-,Eletronica,Basquete,The Witcher,66.5,56.0,81.5
26,F,61.8,1.8,A+,Demais generos estranhos,Atletismo,Minecraft,83.0,88.5,68.5
55,F,59.5,1.8,A-,Rock,Volei,Minecraft,50.0,35.5,89.0
49,M,72.3,1.73,AB+,Demais generos estranhos,Nada,World of Warcraft,49.0,40.5,68.5
49,F,72.1,1.78,O+,Metal,eSports,Assassin's Creed,45.5,53.0,95.5
17,M,61.2,1.65,B+,Eletronica,eSports,Assassin's Creed,52.0,58.5,80.0
71,F,61.2,1.71,B+,Pop,Nada,Rocket League,43.5,26.5,83.5
53,F,60.2,1.77,B+,Metal,Futebol,The Witcher,44.0,50.0,74.5
59,F,67.4,1.84,AB-,Funk,Futebol,Counter-Strike,45.5,50.0,73.0
52,M,68.2,1.8,A+,Pagode,Futebol,World of Warcraft,53.5,53.5,71.0
70,M,73.5,1.93,AB+,Eletronica,Nada,Valorant,59.5,64.5,66.5
77,F,70.8,1.83,AB-,Metal,Nada,Counter-Strike,49.0,52.5,62.5
45,F,63.0,1.74,AB-,Funk,eSports,Fortnite,42.5,44.0,92.5
79,F,60.5,1.78,A+,Hip-Hop/Rap,Nada,Outro - pouco relevante,53.5,39.0,77.5
20,M,70.3,1.89,A-,Sertanejo,Nada,FIFA,57.0,66.5,62.0
59,M,75.8,1.77,AB+,Rock,Basquete,Dota,65.0,54.0,84.0
72,M,82.5,1.86,B-,Pop,Nada,Minecraft,58.5,30.5,67.0
17,M,74.7,1.75,O-,Pop,eSports,Counter-Strike,50.5,52.0,78.0
52,M,76.7,1.84,A+,Funk,Basquete,League of Legends,60.0,52.5,81.0
80,F,59.9,1.76,A+,Eletronica,Nada,Outro - pouco relevante,40.0,53.5,59.5
55,M,68.2,1.92,B-,Demais generos estranhos,Luta,Dota,63.0,35.5,68.5
57,F,58.9,1.76,AB+,Pagode,Luta,World of Warcraft,60.5,34.5,76.5
50,F,56.6,1.78,AB-,Demais generos estranhos,Luta,Valorant,74.0,53.0,75.0
78,F,65.1,1.81,A+,Eletronica,Nada,World of Warcraft,39.5,31.0,87.5
39,F,56.4,1.72,AB-,Eletronica,Atletismo,Valorant,70.0,86.0,72.5
58,M,71.2,1.76,B-,Hip-Hop/Rap,Futebol,World of Warcraft,54.5,53.0,65.5
20,M,69.2,1.94,B-,Metal,Atletismo,Minecraft,86.0,96.0,67.5
59,M,75.7,1.82,B+,Hip-Hop/Rap,Volei,Minecraft,51.5,38.5,86.5
24,M,71.7,1.71,AB-,Hip-Hop/Rap,Atletismo,Fortnite,90.0,95.0,65.0
73,F,54.5,1.73,A+,Pop,Nada,Fortnite,16.0,14.5,51.5
23,M,69.3,1.78,AB+,Hip-Hop/Rap,Basquete,Outro - pouco relevante,98.5,93.5,83.0
47,F,62.5,1.72,B+,Funk,Nada,Counter-Strike,35.0,39.0,61.0
23,M,75.5,1.79,B+,Eletronica,Futebol,Fortnite,85.0,82.0,73.0
62,F,72.8,1.76,A+,Metal,Futebol,Counter-Strike,48.5,50.5,72.0
75,M,67.0,1.79,B-,Metal,Nada,Counter-Strike,38.0,27.5,80.0
55,M,71.6,1.75,A+,Pop,Nada,Rocket League,26.5,21.0,58.0
60,M,66.8,1.84,A-,Metal,Volei,Rocket League,52.5,40.0,82.0
58,F,61.8,1.81,B+,Metal,Luta,Rocket League,63.5,32.5,72.5
74,M,74.9,1.82,O-,Demais generos estranhos,Nada,Minecraft,37.0,29.5,75.5
53,F,59.2,1.84,AB+,Demais generos estranhos,Basquete,Dota,64.0,53.5,86.5
21,M,66.3,1.94,B+,Hip-Hop/Rap,Luta,League of Legends,94.5,74.0,71.0
48,F,56.6,1.77,A-,Demais generos estranhos,Atletismo,FIFA,63.0,80.5,68.5
73,M,73.2,1.71,O+,Sertanejo,Nada,Outro - pouco relevante,37.0,45.5,68.5
47,F,67.8,1.84,A-,Pop,Nada,FIFA,37.5,36.5,64.5
77,M,83.9,1.9,B+,Funk,Nada,FIFA,50.5,31.0,60.5
52,M,77.8,1.91,AB+,Eletronica,Nada,Minecraft,25.0,15.5,57.5
55,M,82.2,1.92,AB+,Funk,Luta,Fortnite,64.5,37.0,74.0
50,F,72.2,1.78,O+,Hip-Hop/Rap,eSports,Outro - pouco relevante,40.5,39.0,100
41,F,64.1,1.75,AB-,Eletronica,Luta,League of Legends,74.5,64.0,80.0
45,F,56.7,1.71,AB+,Sertanejo,eSports,Outro - pouco relevante,46.0,41.5,91.5
40,F,55.9,1.85,B+,Pagode,Volei,World of Warcraft,62.0,54.5,91.0
55,M,72.7,1.76,B-,Hip-Hop/Rap,Futebol,Fortnite,53.5,55.5,63.5
72,M,73.4,1.81,A-,Funk,Nada,Dota,44.5,55.5,63.0
41,M,71.6,1.73,A+,Pop,Futebol,Fortnite,63.5,68.5,72.5
15,F,57.4,1.66,AB+,Eletronica,Futebol,Dota,65.5,79.0,67.5
59,F,63.2,1.85,AB+,Sertanejo,Basquete,Assassin's Creed,63.5,49.0,85.0
12,F,50.0,1.56,O-,Pagode,Basquete,Fortnite,74.5,69.0,71.5
14,M,52.3,1.5,O-,Metal,Luta,Counter-Strike,71.5,55.5,56.5
60,M,70.4,1.87,AB+,Rock,Luta,The Witcher,63.0,37.5,66.0
33,M,76.4,1.8,O+,Demais generos estranhos,eSports,Assassin's Creed,39.5,42.0,90.5
15,M,72.4,1.65,B-,Sertanejo,Volei,Fortnite,68.5,69.0,75.5
43,F,63.0,1.72,B+,Sertanejo,Futebol,Dota,64.5,69.5,79.0
68,F,61.6,1.74,O-,Rock,Nada,World of Warcraft,50.0,39.5,86.0
36,M,70.9,1.72,A+,Demais generos estranhos,Basquete,World of Warcraft,83.0,82.0,94.5
58,M,81.4,1.73,B-,Sertanejo,Luta,Valorant,61.5,34.0,69.0
23,M,81.1,1.7,AB+,Sertanejo,eSports,Assassin's Creed,59.5,61.5,84.0
54,F,71.6,1.79,O-,Demais generos estranhos,Basquete,Counter-Strike,62.0,54.0,86.5
78,M,65.8,1.84,O+,Metal,Nada,Minecraft,18.0,10.5,77.5
66,M,77.9,1.82,AB+,Pop,Nada,Valorant,67.0,35.5,75.5
24,F,68.6,1.84,A+,Rock,Futebol,Outro - pouco relevante,83.5,92.0,75.0
76,M,82.5,1.87,O+,Hip-Hop/Rap,Nada,World of Warcraft,50.0,47.5,72.0
26,M,75.1,1.75,A+,Hip-Hop/Rap,Volei,Rocket League,90.5,80.5,89.0
21,M,69.9,1.8,O+,Eletronica,Atletismo,Minecraft,84.0,96.5,67.0
45,M,84.1,1.87,B+,Pop,Basquete,Assassin's Creed,78.5,76.0,85.5
24,M,72.9,1.78,A-,Demais generos estranhos,Nada,Minecraft,58.5,53.0,54.0
49,M,72.8,1.84,AB-,Funk,Nada,Minecraft,43.0,39.5,61.5
27,M,76.8,1.81,AB-,Pagode,Nada,Assassin's Creed,53.5,58.5,62.0
39,F,69.9,1.82,A-,Hip-Hop/Rap,eSports,Valorant,36.5,40.5,100
48,M,70.0,1.87,AB+,Pop,Atletismo,The Witcher,71.0,86.5,72.5
80,F,71.2,1.85,A-,Demais generos estranhos,Nada,Valorant,41.0,48.0,71.0
60,F,54.7,1.75,O+,Eletronica,eSports,Counter-Strike,27.0,22.0,89.0
14,M,38.4,1.62,B+,Funk,Volei,Fortnite,61.5,55.0,71.0
64,F,67.2,1.75,O-,Sertanejo,Basquete,FIFA,55.5,51.0,79.0
24,M,66.2,1.88,A+,Rock,eSports,Counter-Strike,66.5,61.5,95.5
51,F,62.1,1.82,AB-,Demais generos estranhos,Futebol,Minecraft,48.5,46.5,71.0
38,F,58.4,1.75,B-,Pagode,Luta,Counter-Strike,79.0,61.0,76.0
33,F,67.4,1.79,B-,Hip-Hop/Rap,Volei,Dota,70.5,61.0,94.5
61,F,68.3,1.74,O-,Funk,Atletismo,League of Legends,49.5,63.0,67.0
79,F,71.4,1.73,AB-,Sertanejo,Nada,Counter-Strike,44.0,33.5,84.5
54,M,68.1,1.86,O-,Pagode,Volei,The Witcher,53.0,39.0,83.0
42,F,70.0,1.82,B-,Pop,Futebol,World of Warcraft,64.5,59.0,82.5
79,F,57.9,1.72,B+,Funk,Nada,Valorant,49.5,24.0,70.0
13,F,59.1,1.56,B+,Eletronica,Nada,Counter-Strike,35.0,46.0,49.0
36,F,66.6,1.74,A-,Metal,Atletismo,Valorant,66.0,87.5,67.0
18,F,55.3,1.75,B-,Hip-Hop/Rap,Nada,Fortnite,56.0,59.5,60.5
62,M,78.6,1.95,AB-,Metal,Basquete,Valorant,65.0,55.5,84.0
66,F,58.8,1.74,O-,Eletronica,Nada,Rocket League,24.0,22.0,91.5
56,F,70.2,1.84,B-,Sertanejo,eSports,World of Warcraft,24.0,23.5,86.0
50,M,80.1,1.81,B+,Rock,Volei,Assassin's Creed,75.0,54.5,92.5
46,F,66.0,1.74,A-,Metal,Futebol,Valorant,64.0,73.5,80.5
21,F,62.7,1.8,AB-,Demais generos estranhos,Futebol,Minecraft,81.5,89.0,82.0
72,F,61.0,1.78,AB+,Pagode,Nada,Dota,57.0,34.0,70.5
58,M,78.8,1.86,O-,Funk,Atletismo,Outro - pouco relevante,55.5,65.0,64.0
16,M,70.4,1.77,AB+,Eletronica,Basquete,Assassin's Creed,80.0,72.5,75.5
72,M,73.3,1.79,AB-,Pop,Nada,FIFA,54.5,22.0,63.0
30,F,57.6,1.74,B+,Pagode,Futebol,Valorant,91.0,86.0,79.0
42,M,76.5,1.83,B-,Funk,eSports,Rocket League,44.0,44.5,91.5
42,F,60.8,1.76,A-,Rock,Basquete,FIFA,74.0,70.5,86.5
70,F,56.3,1.74,A+,Demais generos estranhos,Nada,Rocket League,61.0,37.0,69.5
58,F,64.1,1.8,AB+,Rock,Futebol,League of Legends,54.5,55.0,70.0
28,M,75.2,1.71,O+,Eletronica,Atletismo,World of Warcraft,89.5,100.0,72.5
54,M,66.4,1.91,AB+,Metal,Atletismo,The Witcher,57.0,59.5,64.0
45,M,75.9,1.72,AB+,Pagode,Luta,Assassin's Creed,77.5,56.5,75.5
59,M,69.7,1.89,B-,Demais generos estranhos,Nada,Rocket League,28.0,21.0,57.0
42,F,67.6,1.71,O+,Rock,Volei,Rocket League,65.0,50.5,92.0
56,M,80.3,1.7,AB-,Hip-Hop/Rap,Futebol,Minecraft,48.0,51.5,67.5
58,F,57.9,1.78,AB-,Pop,Futebol,Dota,47.0,51.5,73.5
53,F,72.4,1.75,B+,Demais generos estranhos,Nada,The Witcher,26.0,19.0,61.0
16,F,55.8,1.7,O-,Pagode,Basquete,Assassin's Creed,84.0,82.5,79.5
67,F,65.7,1.82,O-,Rock,Nada,Outro - pouco relevante,47.0,40.5,87.5
25,F,71.9,1.72,O+,Metal,Nada,Dota,61.0,66.5,60.0
63,M,75.6,1.71,A+,Demais generos estranhos,Volei,FIFA,58.0,36.5,83.0
55,M,72.7,1.73,O+,Eletronica,Basquete,Dota,59.0,55.5,82.0
54,F,70.5,1.85,B+,Eletronica,Volei,Outro - pouco relevante,47.0,39.0,89.5
72,F,60.1,1.76,A-,Pagode,Nada,Rocket League,54.5,26.5,69.0
37,M,68.5,1.7,O+,Pop,Basquete,League of Legends,74.5,80.5,95.0
73,F,54.9,1.7,B+,Pagode,Nada,World of Warcraft,42.0,56.0,64.5
33,F,62.5,1.8,AB+,Funk,Basquete,Dota,76.5,66.0,89.0
77,F,61.4,1.84,AB+,Rock,Nada,League of Legends,21.0,17.0,82.5
35,M,77.1,1.94,A-,Eletronica,Basquete,Assassin's Creed,84.0,75.5,89.0
34,M,69.5,1.89,O+,Pagode,Atletismo,FIFA,69.0,78.5,69.0
24,M,76.1,1.92,A-,Funk,Futebol,World of Warcraft,80.0,84.0,75.0
30,M,71.1,1.82,O-,Demais generos estranhos,Volei,Rocket League,85.0,81.0,91.5
41,M,68.8,1.82,B+,Demais generos estranhos,Futebol,World of Warcraft,64.5,80.0,85.5
51,M,72.1,1.83,AB-,Hip-Hop/Rap,Atletismo,FIFA,57.5,63.0,66.0
14,M,44.4,1.58,AB-,Pagode,eSports,Minecraft,35.5,36.0,75.5
73,M,69.2,1.95,A+,Funk,Nada,Valorant,39.5,44.5,62.0
78,M,74.1,1.73,O+,Pagode,Nada,World of Warcraft,14.0,7.5,50.0
62,M,70.9,1.73,AB+,Pagode,Volei,Minecraft,48.5,38.0,86.5
66,M,74.8,1.85,A+,Sertanejo,Nada,The Witcher,33.5,20.5,92.5
21,F,71.5,1.7,O+,Pagode,eSports,Dota,58.5,65.0,97.5
79,F,72.6,1.78,O-,Pop,Nada,Assassin's Creed,13.5,16.0,87.0
76,M,71.9,1.92,AB-,Eletronica,Nada,FIFA,53.5,30.0,69.0
19,F,64.3,1.73,A-,Pagode,Basquete,The Witcher,99.0,83.5,91.0
65,F,64.0,1.74,B-,Pop,eSports,League of Legends,26.0,23.5,93.0
52,F,64.3,1.81,AB-,Sertanejo,Luta,Valorant,63.5,34.0,75.0
22,F,59.5,1.79,B+,Demais generos estranhos,eSports,Assassin's Creed,58.0,55.5,86.5
15,F,58.1,1.63,AB-,Funk,Luta,Dota,83.0,68.0,69.0
48,M,76.5,1.85,B+,Pagode,Basquete,FIFA,79.5,74.5,90.0
60,F,57.0,1.81,AB+,Pagode,eSports,League of Legends,31.0,23.5,91.5
42,F,67.8,1.73,A-,Hip-Hop/Rap,Luta,Fortnite,81.5,59.5,76.0
15,M,70.1,1.78,AB+,Pop,Futebol,Outro - pouco relevante,72.5,76.0,63.5
74,M,79.7,1.7,B+,Funk,Nada,The Witcher,43.5,40.0,64.0
26,F,69.4,1.7,AB+,Demais generos estranhos,Futebol,League of Legends,82.0,83.5,75.0
17,F,67.9,1.69,O-,Rock,Atletismo,Rocket League,71.5,91.0,55.5
79,M,69.5,1.9,O+,Pagode,Nada,Assassin's Creed,41.5,55.0,58.5
29,M,72.5,1.71,O-,Pagode,Atletismo,Counter-Strike,84.0,100,69.5
